source_type,source_name,title,organization,posted_at,due_at,amount,region,keywords,summary,url,relevance_score
입찰/조달,나라장터 입찰공고,서울 모듈러 교실 임대형 설치 공사,서울특별시교육청,2026-05-16,2026-05-25,1850000000,서울,"모듈러;학교;임대형;교실","노후 교실 대체를 위한 모듈러 교실 제작·운송·설치 입찰 공고입니다.",https://www.g2b.go.kr/,95
입찰/조달,LH 입찰공고,공공임대주택 모듈러 실증단지 기본설계 용역,한국토지주택공사,2026-05-15,2026-05-31,720000000,경기,"LH;공공임대;모듈러주택;설계","공공임대주택에 적용할 모듈러 공법 실증단지 설계 용역 샘플입니다.",https://www.lh.or.kr/,91
입찰/조달,D2B 조달계획,군 임시숙영시설 프리패브 모듈 구매,국방부,2026-05-14,2026-05-22,940000000,강원,"D2B;군시설;프리패브;숙영","군 임시숙영시설용 프리패브 모듈 구매 계획 샘플입니다.",https://www.d2b.go.kr/,88
뉴스,건설경제,대형 건설사 OSC 기반 모듈러 생산라인 확대,건설경제신문,2026-05-17,,0,전국,"OSC;생산라인;모듈러","건설사가 OSC 생산라인을 확대하며 모듈러 사업 역량을 강화한다는 뉴스 샘플입니다.",https://www.cnews.co.kr/,84
뉴스,대한경제,학교 모듈러 교실 수요 증가와 안전성 기준 강화,대한경제,2026-05-13,,0,전국,"학교;모듈러교실;안전기준","교육시설 모듈러 교실 수요 증가와 품질·안전 기준 강화 관련 뉴스 샘플입니다.",https://www.dnews.co.kr/,79
R&D/특허,R&D 성과,OSC 모듈러 접합부 표준화 기술 개발,국토교통과학기술진흥원,2026-05-10,2026-06-07,3200000000,전국,"R&D;OSC;접합부;표준화","모듈러 유닛 접합부 표준화와 현장 조립 효율 개선을 다룬 R&D 과제 샘플입니다.",https://www.kaia.re.kr/,93
R&D/특허,R&D 성과,공업화주택 탄소저감 생산공정 실증,한국건설기술연구원,2026-05-08,2026-06-20,2100000000,충북,"공업화주택;탄소저감;실증","공업화주택 제조 과정의 탄소저감 및 품질관리 실증 과제 샘플입니다.",https://www.kict.re.kr/,86
R&D/특허,특허,모듈러 건축물 내진 접합 구조,특허정보검색서비스,2026-05-06,,0,전국,"특허;내진;접합;모듈러","모듈러 건축물 유닛 간 접합부의 내진 성능 개선 특허 샘플입니다.",https://www.kipris.or.kr/,90
R&D/특허,특허,프리패브 욕실 유닛 방수 시공 구조,특허정보검색서비스,2026-05-03,,0,전국,"특허;프리패브;욕실;방수","프리패브 욕실 유닛의 누수 방지와 현장 설치성을 개선한 특허 샘플입니다.",https://www.kipris.or.kr/,76
입찰/조달,나라장터 입찰공고,공공청사 임시 사무동 모듈러 제작 설치,부산광역시,2026-05-12,2026-05-20,650000000,부산,"공공청사;모듈러;임시사무동","청사 리모델링 기간 사용할 모듈러 임시 사무동 제작·설치 입찰 샘플입니다.",https://www.g2b.go.kr/,82
